sodt_id,trade_order_code,sfc_order_code,purchase_job_number,purchase_site_id,carrier_name,carrier_warehouse_address,carrier_tracking_number,task_type,task_status,task_err_nums,task_message,is_send_notice,sodt_create_date,sodt_last_update,carrier_phone_info,carrier_receiver
1127,ORDER_014,SFCAA0109076222YQ,STGF1828,,百世,广东省广州市白云区太岗公路34号基实（广州）白云空港产业园A1号仓库首层01-02单元百世跨境仓(百世跨境仓) + 收货时间：9:00-19:00 + 卸车月台：B09-B14+如果订单有问题请联系 13544221626,BSO2512301230876,1,5,2,通知订单系统失败: 通知订单系统失败: 采购订单更新物流信息失败: ,1,2026-03-16 16:55:46,2026-03-16 17:04:20,13544221626,三态 PH-BAUUF
1125,ORDER_015,SFCAA0105451111YQ,,,百世,广东省广州市白云区太岗公路34号基实（广州）白云空港产业园A1号仓库首层01-02单元百世跨境仓(百世跨境仓) + 收货时间：9:00-19:00 + 卸车月台：B09-B14+如果订单有问题请联系 13544221626,BSO2509303978876,1,3,0,,1,2026-02-24 18:47:07,2026-02-24 18:47:07,18122999114、19120113473,TL-BAUUF-三态 广州跨境仓
1124,ORDER_016,SFCAA0116450026YQ,,,百世,广东省广州市白云区太岗公路34号基实（广州）白云空港产业园A1号仓库首层01-02单元百世跨境仓(百世跨境仓) + 收货时间：9:00-19:00 + 卸车月台：B09-B14+如果订单有问题请联系 13544221626,BSO2509303973821,1,3,0,,1,2026-02-24 18:43:32,2026-02-24 18:43:32,18122999114、19120113473,TL-BAUUF-三态 广州跨境仓
1126,ORDER_017,SFCAA0105498755YQ,,,百世,广东省广州市白云区太岗公路34号基实（广州）白云空港产业园A1号仓库首层01-02单元百世跨境仓(百世跨境仓) + 收货时间：9:00-19:00 + 卸车月台：B09-B14+如果订单有问题请联系 13544221626,BSO2509303972222,1,4,1,任务处理失败: 以下产品未找到主供应商: 0,1,2026-02-24 18:51:04,2026-03-16 19:39:25,18122999114、19120113473,PH-BAUUF-三态 广州跨境仓
1121,ORDER_018,SFCAA0109076474YQ,,,百世,广东省广州市白云区太岗公路34号基实（广州）白云空港产业园A1号仓库首层01-02单元百世跨境仓(百世跨境仓) + 收货时间：9:00-19:00 + 卸车月台：B09-B14+如果订单有问题请联系 13544221626,BSO2512301230458,1,4,1,任务处理失败: 以下产品未找到主供应商: 72317984,1,2026-01-26 14:28:13,2026-03-16 18:01:53,13544221626,三态 PH-BAUUF
1118,ORDER_019,SFCAA0108773778YQ,,,中通,广东省广州市花都区花东镇永星路11号大誉仓【1839】+如果订单有问题请联系 13544221626+三态,66850956481388,1,3,0,成功创建 1 个PO单,1,2025-12-23 04:30:14,2025-12-23 08:00:02,15302494322,广州大誉仓【1839】
1120,ORDER_020,SFCAA0108786635YQ,,,中通,广东省广州市花都区花东镇永星路11号大誉仓【1839】+如果订单有问题请联系 13544221626+三态,66850953484265,1,3,0,成功创建 1 个PO单,1,2025-12-23 11:45:13,2025-12-23 11:50:03,15302494322,广州大誉仓【1839】
1117,ORDER_021,SFCAA0108773777YQ,,,中通,广东省广州市花都区花东镇永星路11号大誉仓【1839】+如果订单有问题请联系 13544221626+三态,66850954481389,1,3,0,成功创建 1 个PO单,1,2025-12-23 04:30:13,2025-12-23 08:00:02,15302494322,广州大誉仓【1839】
1119,ORDER_022,SFCAA0108784127YQ,,,中通,广东省广州市花都区花东镇永星路11号大誉仓【1839】+如果订单有问题请联系 13544221626+三态,66850953482501,1,3,0,成功创建 1 个PO单,1,2025-12-23 10:30:13,2025-12-23 10:35:04,15302494322,广州大誉仓【1839】
1112,ORDER_023,SFCAA0108752702YQ,,,中通,广东省广州市花都区花东镇永星路11号大誉仓【1839】+如果订单有问题请联系 13544221626+三态,66850955474374,1,3,0,成功创建 1 个PO单,1,2025-12-22 16:30:13,2025-12-22 16:35:04,15302494322,广州大誉仓【1839】
1114,ORDER_024,SFCAA0108755078YQ,,,中通,广东省广州市花都区花东镇永星路11号大誉仓【1839】+如果订单有问题请联系 13544221626+三态,66850958476871,1,3,0,成功创建 1 个PO单,1,2025-12-22 17:45:13,2025-12-22 17:50:03,15302494322,广州大誉仓【1839】
1111,ORDER_025,SFCAA0108736196YQ,,,中通,广东省广州市花都区花东镇永星路11号大誉仓【1839】+如果订单有问题请联系 13544221626+三态,66850957462718,1,3,0,成功创建 1 个PO单,1,2025-12-22 10:30:13,2025-12-22 10:35:03,15302494322,广州大誉仓【1839】
